year,month,revenue,receipts,avg
2024,2024-01,896796.92,945,948.99
2024,2024-02,801340.49,837,957.4
2024,2024-03,917014.58,938,977.63
2024,2024-04,815854.67,907,899.51
2024,2024-05,852644.56,903,944.24
2024,2024-06,836497.47,912,917.21
2024,2024-07,891607.62,940,948.52
2024,2024-08,893740.96,937,953.83
2024,2024-09,851838.84,912,934.03
2024,2024-10,877251.51,923,950.44
2024,2024-11,860403.86,909,946.54
2024,2024-12,937026.45,956,980.15
2025,2025-01,1002662.52,1015,987.84
2025,2025-02,877182.08,904,970.33
2025,2025-03,1004628.32,1026,979.17
2025,2025-04,959413.89,938,1022.83
2025,2025-05,979229.85,1023,957.21
2025,2025-06,936417.04,974,961.41
2025,2025-07,998073.02,983,1015.33
2025,2025-08,951432.04,979,971.84
2025,2025-09,900421.46,971,927.31
2025,2025-10,949514.48,1000,949.51
2025,2025-11,927834.63,979,947.74
2025,2025-12,970773.07,979,991.6
