year,наименование_магазина,формат_магазина,revenue,receipts,avg
2024,Соседушка Автозавод,у дома,244104.94,511,477.7
2024,Соседушка Азино,у дома,227204.8,495,459.0
2024,Соседушка Бутово,у дома,251378.28,551,456.22
2024,Соседушка Васильевский,у дома,257201.63,537,478.96
2024,Соседушка Гатчина,у дома,268637.65,558,481.43
2024,Соседушка Дзержинск,супермаркет,512502.96,547,936.93
2024,Соседушка Казань-Центр,гипермаркет,1036945.77,617,1680.63
2024,Соседушка Купчино,супермаркет,503593.52,550,915.62
2024,Соседушка Митино,у дома,271584.04,547,496.5
2024,Соседушка Набережные Челны,супермаркет,515106.19,540,953.9
2024,Соседушка Невский,супермаркет,522655.91,527,991.76
2024,Соседушка Нижний-Центр,супермаркет,520413.56,547,951.4
2024,Соседушка Ново-Савиновский,супермаркет,505994.29,529,956.51
2024,Соседушка Парнас,гипермаркет,1003270.32,619,1620.79
2024,Соседушка Подольск,супермаркет,511511.53,525,974.31
2024,Соседушка Сокольники,супермаркет,493026.14,531,928.49
2024,Соседушка Сормово,у дома,257478.5,524,491.37
2024,Соседушка Химки,гипермаркет,981269.96,616,1592.97
2024,Соседушка Центральный,гипермаркет,1014852.29,607,1671.91
2024,Соседушка на Пресне,супермаркет,533285.65,541,985.74
2025,Соседушка Автозавод,у дома,273089.25,582,469.23
2025,Соседушка Азино,у дома,276421.4,560,493.61
2025,Соседушка Бутово,у дома,264718.11,549,482.18
2025,Соседушка Васильевский,у дома,272506.99,564,483.17
2025,Соседушка Гатчина,у дома,271172.24,561,483.37
2025,Соседушка Дзержинск,супермаркет,584284.97,569,1026.86
2025,Соседушка Казань-Центр,гипермаркет,1091520.23,655,1666.44
2025,Соседушка Купчино,супермаркет,562441.48,574,979.86
2025,Соседушка Митино,у дома,300649.95,574,523.78
2025,Соседушка Набережные Челны,супермаркет,535332.58,569,940.83
2025,Соседушка Невский,супермаркет,564308.2,575,981.41
2025,Соседушка Нижний-Центр,супермаркет,574315.14,577,995.35
2025,Соседушка Ново-Савиновский,супермаркет,560985.97,564,994.66
2025,Соседушка Парнас,гипермаркет,1159594.2,676,1715.38
2025,Соседушка Подольск,супермаркет,566455.93,584,969.96
2025,Соседушка Сокольники,супермаркет,559880.1,566,989.19
2025,Соседушка Сормово,у дома,288755.67,573,503.94
2025,Соседушка Химки,гипермаркет,1090090.19,647,1684.84
2025,Соседушка Центральный,гипермаркет,1114681.82,659,1691.47
2025,Соседушка на Пресне,супермаркет,546377.98,593,921.38
